Noun Bi-gram,Count
dense volume,1
time zero,1
dense state,1
background radiation,1
life history,1
space telescope,1
dust clouds,1
skin liver,1
havoc elastin,1
turnover rate,1
sun damageù,1
buschkeollendorf syndrome,1
bone disease,1
kligman md,1
scientist robert,1
robert lavker,1
wrinkle formation,1
formation arrive,1
skin droops,1
doughy consistency,1
sewage treatment,1
treatment plant,1
chemical treatment,1
environment influence,1
carbon bond,1
carbon source,1
substrate specificity,1
hydrocarbon metabolism,1
oil spill,1
phylum basidiomycota,1
basidiomycota order,1
introduction occurrence,1
term toadstool,1
cap fig,1
binominalslthe death,1
death cup,1
cup amanita,1
mane coprinus,1
coprinus comatus;,1
omphalotus olearius;,1
honey mushroom,1
mushroom armillaria,1
armillaria mellea,1
h smith,1
color stereophotographs,1
substrate basidiocarps,1
breaking strength,1
wood characteristic,1
sea water,1
elasticity flexibility,1
cell cohesion,1
wood reach,1
wall material,1
material cellulose,1
cellulose lignin,1
wood sample,1
reaction wood,1
wood deformation,1
breadth depth,1
structure stiffness,1
stiffness eightfold,1
ground dbh,1
trunk size,1
oak lombardy,1
lombardy poplar,1
growth form,1
basal rosette,1
tall flowering,1
flowering stalk,1
treelike yuccas,1
sweat sweat,1
salt content,1
invading microbe,1
cell discharge,1
killer nk,1
cascade response,1
cell lysis,1
word opson,1
phase proteinsæ,1
necrosis factor,1
